threshold,roc_auc,accuracy,precision,recall,f1,business_cost,normalized_business_cost,tn,fp,fn,tp
0.55,0.7842470751581712,0.7825070729407174,0.209841833830657,0.6125881168177241,0.3126019759240464,122751.0,0.4989715781600598,180337,45811,7694,12166
0.56,0.7842470751581712,0.79094175799161,0.21473235262225757,0.5982880161127895,0.3160358539245153,123232.0,0.5009267991284836,182696,43452,7978,11882
0.5700000000000001,0.7842470751581712,0.7988561347598452,0.21939945060149663,0.5831319234642498,0.3188381856975704,123994.0,0.5040242593736789,184944,41204,8279,11581
0.5800000000000001,0.7842470751581712,0.8063315014145881,0.223992688548041,0.5676737160120846,0.3212331889674037,124918.0,0.5077802347891125,187090,39058,8586,11274
0.5900000000000001,0.7842470751581712,0.8138068680693311,0.22912447015096782,0.5525176233635448,0.3239214181340497,125788.0,0.5113167051478,189230,36918,8887,10973
0.6000000000000001,0.7842470751581712,0.8209529771389549,0.2344480797523111,0.5376132930513595,0.3265087689790676,126694.0,0.514999512210985,191284,34864,9183,10677
0.6100000000000001,0.7842470751581712,0.8278023478911255,0.23995747238015994,0.5227593152064451,0.3289294427018978,127664.0,0.5189424734154987,193264,32884,9478,10382
0.6200000000000001,0.7842470751581712,0.8345785502910474,0.24561060779956534,0.5064451158106748,0.3307954153031524,128913.0,0.5240195440798673,195255,30893,9802,10058
0.6300000000000001,0.7842470751581712,0.841208415986472,0.2519632155404009,0.49113796576032226,0.3330601652666803,130018.0,0.5285112679262463,197190,28958,10106,9754
0.6400000000000001,0.7842470751581712,0.8471350525186173,0.2573030634573304,0.47366565961732127,0.33346331088266573,131683.0,0.5352793405092517,198995,27153,10453,9407
0.6500000000000001,0.7842470751581712,0.8531714415791356,0.2638336189618613,0.4573514602215509,0.3346289166835522,133114.0,0.541096224513024,200804,25344,10777,9083
0.6600000000000001,0.7842470751581712,0.8589232870475757,0.2704700061842919,0.4404330312185297,0.33513409961685825,134723.0,0.5476366622223667,202555,23593,11113,8747
0.6700000000000002,0.7842470751581712,0.8643621345647297,0.2775215758613874,0.4242195367573011,0.3355370584252658,136283.0,0.5539779194172547,204215,21933,11435,8425
0.6800000000000002,0.7842470751581712,0.8694879841305974,0.28442175673296954,0.406797583081571,0.33477675334093027,138136.0,0.5615101947904133,205822,20326,11781,8079
0.6900000000000002,0.7842470751581712,0.8744796917173425,0.29188229516866243,0.3890735146022155,0.3335419679278268,140076.0,0.5693961171994407,207402,18746,12133,7727
0.7000000000000002,0.7842470751581712,0.8791299469935937,0.29898628017750273,0.36978851963746223,0.3306395335749499,142379.0,0.5787576013788169,208929,17219,12516,7344
0.7100000000000002,0.7842470751581712,0.8836338655653475,0.3071067106710671,0.35140986908358507,0.32776799342491486,144556.0,0.5876069070924522,210402,15746,12881,6979
0.7200000000000001,0.7842470751581712,0.8875402425937368,0.3142313184198001,0.3324269889224572,0.32307315879618304,146988.0,0.5974927644629443,211740,14408,13258,6602
0.7300000000000001,0.7842470751581712,0.8917596175734123,0.32371327359866636,0.31289023162134944,0.31820975010241703,149442.0,0.6074680498195181,213166,12982,13646,6214
0.7400000000000001,0.7842470751581712,0.8955155929888459,0.33243491226058036,0.2918932527693857,0.3108477666362808,152271.0,0.6189676758479399,214507,11641,14063,5797
0.7500000000000001,0.7842470751581712,0.898938245910702,0.3423275753372841,0.27341389728096677,0.30401433290409274,154732.0,0.6289714155637215,215716,10432,14430,5430
0.7600000000000001,0.7842470751581712,0.9020397710643556,0.3512109512109512,0.25191339375629407,0.29338806626594344,157812.0,0.641491333615167,216906,9242,14857,5003
0.7700000000000001,0.7842470751581712,0.9048933368020552,0.36199765899336717,0.23358509566968783,0.2839479724560061,160386.0,0.6519544079867321,217972,8176,15221,4639
0.7800000000000001,0.7842470751581712,0.9074054502292609,0.3721195128362394,0.21384692849949646,0.2716080964410194,163296.0,0.6637832916002732,218982,7166,15613,4247
0.7900000000000001,0.7842470751581712,0.9099947969171734,0.38621858795372954,0.19501510574018127,0.25916755888650966,166025.0,0.6748764267828689,219993,6155,15987,3873
0.8000000000000002,0.7842470751581712,0.9120516405970538,0.3992740471869328,0.1772406847935549,0.24550146463941971,168696.0,0.6857337972748854,220852,5296,16340,3520
0.8100000000000002,0.7842470751581712,0.9139214984878541,0.41332982086406744,0.1580060422960725,0.22861722278886784,171674.0,0.6978390946635882,221694,4454,16722,3138
0.8200000000000002,0.7842470751581712,0.9155718513219082,0.42995689655172414,0.1406344410876133,0.21194414933980876,174373.0,0.7088102825924361,222445,3703,17067,2793
0.8300000000000002,0.7842470751581712,0.9166815713310136,0.4421645178863265,0.12260825780463243,0.19198170851894195,177322.0,0.7207976976358492,223076,3072,17425,2435
0.8400000000000002,0.7842470751581712,0.9178482000585347,0.46131741821396993,0.10508559919436053,0.1711778215223097,180167.0,0.7323623621996033,223711,2437,17773,2087
0.8500000000000002,0.7842470751581712,0.9187953237293096,0.48393298544355945,0.08872104733131923,0.14995106591208884,182859.0,0.7433050957692433,224269,1879,18098,1762
0.8600000000000002,0.7842470751581712,0.9193806705472993,0.5046535677352637,0.07371601208459215,0.12864109661262685,185397.0,0.7536218334363111,224711,1437,18396,1464
0.8700000000000001,0.7842470751581712,0.9197424474000846,0.5258467023172906,0.059415911379657606,0.1067680057908071,187864.0,0.7636499626028422,225084,1064,18680,1180
0.8800000000000001,0.7842470751581712,0.9200107313583298,0.5557598039215687,0.045669687814702924,0.0844034989763633,190255.0,0.7733691587265454,225423,725,18953,907
0.8900000000000001,0.7842470751581712,0.9200107313583298,0.5806737588652482,0.03298086606243706,0.062416619020392604,192523.0,0.7825883711098826,225675,473,19205,655
0.9000000000000001,0.7842470751581712,0.919872524470749,0.5989304812834224,0.02255790533736153,0.043478260869565216,194420.0,0.7902995024552047,225848,300,19412,448
